index,L,R,P_high,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
875,1.24 ,0.27 ,16.00 ,0.000987620 ,0.000986790 ,0.002719190 ,0.150333350 ,0.260262640 ,0.301883760 ,0.318447270 ,0.325220850 ,0.328018410 ,0.329177580 ,0.329658300 ,0.329857680 ,0.329940360 ,0.329974650 ,0.329988860 ,0.329994760 ,0.329997210 ,0.329998240 ,0.329998670 
225,1.06 ,0.20 ,8.00 ,0.000975510 ,0.000973900 ,0.000972230 ,0.000970560 ,0.000970690 ,0.001780600 ,0.053596090 ,0.201894540 ,0.274552310 ,0.305625460 ,0.319185300 ,0.325180540 ,0.327846740 ,0.329035770 ,0.329566930 ,0.329804540 ,0.329910940 ,0.329958650 ,0.329980070 
880,1.10 ,0.13 ,10.00 ,0.000980320 ,0.000979010 ,0.000977620 ,0.000979250 ,0.003982340 ,0.124228790 ,0.243890660 ,0.293559620 ,0.314324420 ,0.323209310 ,0.327049350 ,0.328715540 ,0.329439690 ,0.329754700 ,0.329891820 ,0.329951550 ,0.329977590 ,0.329988950 ,0.329993910 
38,1.50 ,0.20 ,16.00 ,0.000988140 ,0.000987270 ,0.000986410 ,0.004778030 ,0.170358040 ,0.267837010 ,0.304850180 ,0.319649880 ,0.325714320 ,0.328221410 ,0.329260920 ,0.329692330 ,0.329871400 ,0.329945730 ,0.329976600 ,0.329989400 ,0.329994730 ,0.329996960 ,0.329997890 
808,1.60 ,0.30 ,20.00 ,0.000990430 ,0.000989710 ,0.001858770 ,0.158917650 ,0.265390300 ,0.304422370 ,0.319669460 ,0.325798470 ,0.328287220 ,0.329301100 ,0.329714500 ,0.329883070 ,0.329951800 ,0.329979810 ,0.329991230 ,0.329995890 ,0.329997790 ,0.329998570 ,0.329998900 
878,1.53 ,0.21 ,18.00 ,0.000989380 ,0.000988590 ,0.001007500 ,0.090734420 ,0.238936640 ,0.294080790 ,0.315444220 ,0.324043130 ,0.327553940 ,0.328994270 ,0.329586020 ,0.329829210 ,0.329929160 ,0.329970230 ,0.329987100 ,0.329994040 ,0.329996900 ,0.329998070 ,0.329998570 
250,1.62 ,0.11 ,18.00 ,0.000989490 ,0.000988710 ,0.000988450 ,0.031218510 ,0.210022010 ,0.283221310 ,0.311121340 ,0.322279260 ,0.326827820 ,0.328694400 ,0.329462020 ,0.329777880 ,0.329907860 ,0.329961340 ,0.329983350 ,0.329992410 ,0.329996140 ,0.329997690 ,0.329998330 
4,1.63 ,0.23 ,15.00 ,0.000987640 ,0.000986730 ,0.000985780 ,0.000985390 ,0.010738010 ,0.183218270 ,0.272035340 ,0.306308690 ,0.320168760 ,0.325897320 ,0.328283950 ,0.329281020 ,0.329697980 ,0.329872410 ,0.329945380 ,0.329975930 ,0.329988730 ,0.329994090 ,0.329996350 
414,1.74 ,0.15 ,19.00 ,0.000990120 ,0.000989370 ,0.000988790 ,0.021463450 ,0.203924970 ,0.281186970 ,0.310390010 ,0.322008700 ,0.326727190 ,0.328657160 ,0.329448380 ,0.329772960 ,0.329906120 ,0.329960760 ,0.329983170 ,0.329992370 ,0.329996140 ,0.329997700 ,0.329998350 
802,1.54 ,0.23 ,14.00 ,0.000986700 ,0.000985730 ,0.000984710 ,0.000983970 ,0.005464340 ,0.164995520 ,0.264605140 ,0.303195640 ,0.318829630 ,0.325315750 ,0.328030700 ,0.329170680 ,0.329649880 ,0.329851420 ,0.329936190 ,0.329971870 ,0.329986890 ,0.329993230 ,0.329995910 
