index,L,R,P_high,t1,t2,t3,t4,t5
911,2.02,0.18,15,0.32994325,0.32999992,0.32999995,0.32999995,0.32999996
912,9.74,0.24,19,0.32793073,0.32999602,0.32999966,0.32999969,0.32999972
913,4.66,0.14,5,0.28495042,0.32894766,0.32999308,0.33000295,0.33000284
914,7.26,0.28,20,0.32937908,0.32999925,0.32999983,0.32999985,0.32999986
915,1.47,0.41,9,0.32981788,0.32999972,0.32999987,0.32999988,0.32999989
916,2.4,0.29,14,0.32988398,0.32999984,0.32999991,0.32999992,0.32999993
917,9.36,0.14,17,0.32695436,0.32999253,0.32999952,0.32999957,0.3299996
918,4.34,0.2,17,0.32973383,0.32999969,0.32999987,0.32999988,0.32999989
919,9.02,0.2,20,0.32874332,0.3299981,0.32999975,0.32999978,0.3299998
920,8.21,0.36,19,0.32882982,0.32999823,0.32999974,0.32999977,0.32999979
921,3.32,0.27,10,0.32886496,0.3299977,0.32999956,0.3299996,0.32999964
922,4.56,0.33,16,0.32960209,0.32999949,0.32999982,0.32999984,0.32999985
923,6.65,0.24,11,0.32306464,0.32996824,0.32999889,0.32999904,0.32999911
924,2.41,0.17,14,0.32988266,0.32999984,0.3299999,0.32999992,0.32999992
925,6.95,0.3,10,0.31795213,0.3299187,0.3299984,0.32999874,0.32999883
926,9.01,0.3,11,0.31133793,0.32983254,0.3299978,0.32999853,0.32999863
927,8.9,0.41,17,0.32742936,0.3299942,0.32999956,0.3299996,0.32999963
928,9.85,0.38,20,0.32831045,0.32999711,0.32999972,0.32999974,0.32999976
929,2.24,0.21,16,0.32994197,0.32999992,0.32999995,0.32999995,0.32999996
930,9.72,0.21,10,0.29545365,0.32947212,0.32999482,0.32999806,0.32999818
931,1.24,0.3,6,0.32951459,0.32999934,0.33000001,0.33000001,0.33000001
932,6.23,0.5,15,0.32859317,0.32999742,0.32999961,0.32999965,0.32999968
933,9.36,0.33,19,0.32818933,0.32999672,0.32999968,0.32999971,0.32999974
934,2.57,0.18,15,0.32989586,0.32999986,0.32999992,0.32999993,0.32999993
935,8.44,0.39,8,0.27901286,0.32879711,0.32998782,0.32999795,0.3299981
936,3.94,0.19,9,0.32699383,0.32999066,0.32999928,0.32999936,0.32999942
937,9.37,0.38,5,0.19874561,0.29014585,0.32803087,0.32994952,0.33000326
938,7.47,0.33,10,0.31479255,0.32987923,0.32999809,0.32999861,0.3299987
939,3.97,0.44,13,0.32935257,0.32999898,0.32999971,0.32999974,0.32999976
940,7.62,0.23,12,0.32256763,0.32996545,0.32999891,0.32999906,0.32999913
941,6.98,0.24,19,0.3293067,0.32999911,0.3299998,0.32999982,0.32999984
942,1.45,0.25,7,0.32955914,0.32999931,0.32999987,0.32999988,0.32999989
943,2.35,0.33,8,0.3290044,0.32999797,0.32999966,0.3299997,0.32999973
944,9.22,0.36,20,0.32864693,0.32999789,0.32999974,0.32999977,0.32999979
945,9.44,0.24,14,0.32235341,0.32996554,0.32999904,0.32999917,0.32999923
946,7.66,0.28,7,0.26987292,0.32824023,0.32998088,0.32999842,0.32999859
947,8.65,0.45,10,0.30581878,0.32972758,0.32999695,0.32999832,0.32999842
948,1.62,0.43,10,0.32985089,0.32999977,0.32999987,0.32999989,0.3299999
949,7.21,0.32,15,0.32773208,0.32999492,0.32999951,0.32999956,0.3299996
950,8.49,0.19,19,0.32869099,0.32999793,0.32999973,0.32999975,0.32999978
951,1.09,0.29,11,0.32995876,0.32999993,0.32999995,0.32999996,0.32999996
952,1.14,0.29,18,0.32999084,0.32999998,0.32999999,0.32999999,0.32999999
953,2.39,0.41,11,0.3297031,0.32999954,0.3299998,0.32999982,0.32999984
954,3.81,0.16,11,0.32883963,0.32999772,0.32999956,0.3299996,0.32999964
955,7.79,0.37,15,0.32706694,0.32999256,0.32999945,0.3299995,0.32999954
956,4.54,0.26,10,0.32698944,0.32999102,0.32999926,0.32999934,0.3299994
957,3.13,0.29,11,0.32936419,0.32999893,0.32999968,0.32999972,0.32999975
958,8.12,0.19,8,0.28416893,0.32903591,0.32999056,0.32999804,0.32999818
959,7.09,0.24,5,0.22139183,0.3200232,0.32976485,0.33000082,0.33000418
960,7.03,0.35,13,0.32601609,0.32998749,0.32999925,0.32999933,0.32999939
961,1.87,0.25,16,0.32996167,0.32999995,0.32999996,0.32999997,0.32999997
962,4.54,0.31,12,0.32862638,0.32999725,0.32999953,0.32999958,0.32999962
963,6.1,0.45,20,0.32963954,0.32999961,0.32999987,0.32999988,0.3299999
964,6.03,0.28,11,0.32497613,0.32998099,0.32999906,0.32999917,0.32999924
965,7.74,0.29,18,0.32876129,0.32999802,0.32999971,0.32999974,0.32999976
966,6.79,0.14,5,0.22751503,0.32203117,0.32983078,0.33000191,0.33000407
967,5.12,0.3,6,0.29737262,0.32946217,0.32999638,0.33000003,0.33000005
968,9.08,0.41,13,0.32066284,0.32995103,0.32999884,0.32999903,0.3299991
969,3,0.37,6,0.32375166,0.32996792,0.32999995,0.33000003,0.33000003
970,1.72,0.44,11,0.32987703,0.32999981,0.32999989,0.3299999,0.32999991
971,9.86,0.28,12,0.31266113,0.32985593,0.32999805,0.32999866,0.32999874
972,4.52,0.24,10,0.32703277,0.32999122,0.32999927,0.32999934,0.3299994
973,3.66,0.1,11,0.32897864,0.32999807,0.32999959,0.32999963,0.32999967
974,1.01,0.38,6,0.32972909,0.32999973,0.33000001,0.33000001,0.33000001
975,6.34,0.4,8,0.30799148,0.32975586,0.32999733,0.32999857,0.32999867
976,8.63,0.21,15,0.32587196,0.32998745,0.32999935,0.32999942,0.32999946
977,6.6,0.12,20,0.32954049,0.32999948,0.32999985,0.32999987,0.32999988
978,6.18,0.43,18,0.32939858,0.32999923,0.3299998,0.32999982,0.32999984
979,8.15,0.2,13,0.32348208,0.32997278,0.32999905,0.32999917,0.32999923
980,5.45,0.39,10,0.32453395,0.3299775,0.329999,0.32999912,0.32999919
981,8.64,0.16,19,0.32861537,0.32999776,0.32999972,0.32999975,0.32999977
982,1.55,0.22,17,0.32997996,0.32999997,0.32999998,0.32999998,0.32999998
983,8.02,0.1,15,0.32677298,0.32999141,0.32999942,0.32999948,0.32999952
984,6.08,0.19,17,0.32926173,0.32999897,0.32999976,0.32999979,0.32999981
985,4.51,0.32,15,0.32949108,0.3299993,0.32999977,0.3299998,0.32999982
986,7.91,0.34,9,0.30228597,0.32964103,0.32999626,0.32999824,0.32999835
987,2.86,0.21,8,0.32820946,0.32999545,0.32999952,0.32999957,0.32999962
988,4.85,0.2,18,0.32971173,0.32999967,0.32999987,0.32999988,0.32999989
989,2.38,0.21,14,0.3298866,0.32999984,0.32999991,0.32999992,0.32999993
990,9.77,0.2,11,0.30585309,0.32973441,0.32999707,0.32999838,0.32999847
991,9.51,0.21,16,0.32574782,0.32998718,0.32999939,0.32999945,0.3299995
992,4.52,0.26,20,0.32985047,0.32999985,0.32999992,0.32999993,0.32999994
993,7.66,0.34,14,0.32620426,0.32998869,0.32999932,0.32999939,0.32999944
994,2.86,0.4,6,0.32453978,0.32997371,0.32999996,0.33000003,0.33000003
995,9.39,0.16,20,0.32856074,0.3299977,0.32999974,0.32999976,0.32999978
996,2.7,0.11,12,0.32970892,0.32999957,0.32999981,0.32999983,0.32999985
997,8.4,0.26,6,0.22643813,0.32194152,0.32983958,0.32999833,0.33000002
998,9.31,0.42,18,0.32770989,0.32999525,0.32999961,0.32999965,0.32999968
999,8.65,0.5,18,0.32821165,0.32999669,0.32999966,0.32999969,0.32999972
