,index,L,R,P_high,t1,t2,t3,t4,t5
724,147,2.62,0.17,11,0.24761706,0.27886992,0.29998822,0.31300135,0.32061697
725,505,3.97,0.12,15,0.24583096,0.27812814,0.29981871,0.31306826,0.32074968
726,719,1.65,0.13,20,0.30529509,0.31903452,0.32517252,0.32788911,0.3290823
727,988,7.53,0.49,10,0.19925268,0.2030294,0.21220555,0.22714727,0.24581396
728,359,9.59,0.19,15,0.20168554,0.21298774,0.23244889,0.25523085,0.27635493
729,841,4.51,0.22,20,0.26172189,0.29215587,0.30983389,0.3195345,0.32467734
730,190,7.61,0.38,19,0.22125688,0.2530197,0.28019994,0.29951534,0.31203161
731,769,3.19,0.16,16,0.26528429,0.29421107,0.31093095,0.32009279,0.324951
732,364,7.81,0.31,5,0.19730455,0.19664388,0.19621332,0.19598387,0.19601663
733,699,9.03,0.33,5,0.19757826,0.19689149,0.1964104,0.19607614,0.19586762
734,370,8.21,0.48,11,0.19950522,0.20384215,0.21408284,0.23021718,0.24965978
735,465,5.49,0.48,8,0.19924055,0.20430033,0.21517399,0.23147985,0.25066673
736,940,6.56,0.17,14,0.21040287,0.23370807,0.25990101,0.28246972,0.2993206
737,708,2.22,0.19,14,0.27562904,0.30127554,0.31524961,0.32257584,0.32632122
738,157,6.01,0.23,19,0.23737712,0.2712327,0.2951198,0.31013199,0.31901134
739,463,4.37,0.32,11,0.21603157,0.24209828,0.26819408,0.28920344,0.30422698
740,992,6.18,0.26,8,0.19857774,0.20126681,0.20828785,0.22054992,0.23712135
741,963,4.36,0.27,14,0.23372737,0.26589336,0.29029738,0.30650169,0.31652984
742,567,8.54,0.19,15,0.20409227,0.22025024,0.24343349,0.2670714,0.28689517
743,994,6.41,0.17,7,0.19788245,0.19850461,0.20117616,0.20715242,0.2172664
744,798,8.71,0.36,10,0.19880127,0.20030484,0.20513791,0.21476924,0.22925363
745,102,2.89,0.43,6,0.20407171,0.21924855,0.24014349,0.26207536,0.28143716
746,989,6,0.3,8,0.19869602,0.20188748,0.20980867,0.22312644,0.2404993
747,928,7.01,0.14,20,0.23076425,0.26474957,0.29021348,0.30682653,0.31693044
748,461,6.16,0.49,12,0.20605633,0.2239409,0.24759404,0.27071508,0.2896748
749,978,5.55,0.31,16,0.22856433,0.26080507,0.28640145,0.30384871,0.31484318
750,198,3.37,0.42,11,0.23119538,0.26215241,0.28678027,0.30375324,0.31458476
751,935,8.41,0.13,8,0.19824888,0.19830821,0.19942697,0.20257997,0.20885758
752,598,9.82,0.3,19,0.20792371,0.2314746,0.25870243,0.28211631,0.29942347
753,251,6.72,0.32,11,0.20159941,0.21185901,0.22956346,0.25104818,0.2718503
754,589,2.34,0.12,7,0.22084844,0.24802634,0.27329145,0.29290603,0.30666758
755,365,7.31,0.44,5,0.19718283,0.19654025,0.19615235,0.19602992,0.19631105
756,760,9.2,0.29,11,0.19905516,0.20128127,0.20774905,0.2197094,0.23637065
757,746,2.73,0.43,8,0.22095612,0.24843421,0.27390189,0.29354575,0.30722965
758,481,1.81,0.29,7,0.23626035,0.26662558,0.28988424,0.30566159,0.31566616
759,975,2.88,0.16,17,0.27548775,0.30146497,0.31547842,0.32275666,0.3264434
760,317,9.51,0.35,16,0.20321675,0.21827204,0.2409223,0.26467802,0.28494737
761,398,8.22,0.31,19,0.21661506,0.24653734,0.27426532,0.29497673,0.3088793
762,570,7.92,0.33,15,0.20630117,0.22568556,0.25061827,0.27411662,0.29276323
763,330,2.21,0.15,16,0.28445643,0.30716081,0.31878898,0.3245834,0.32741597
764,237,6.86,0.19,16,0.21574065,0.2437095,0.2708734,0.2919628,0.30656015
765,578,9.76,0.26,11,0.19894228,0.20041055,0.20525952,0.21502985,0.22975577
766,996,9.04,0.29,7,0.19806739,0.19773168,0.19768949,0.19819092,0.19972118
767,399,6.14,0.41,7,0.19790877,0.19885776,0.20230043,0.20953613,0.22116235
768,793,5.37,0.39,18,0.24067332,0.27411381,0.29716539,0.31144968,0.3198115
769,552,8.83,0.41,18,0.20993432,0.23484543,0.26217362,0.28497776,0.30152245
770,836,2.26,0.38,12,0.26355392,0.29233209,0.30946787,0.31909796,0.32432433
771,142,3.53,0.32,14,0.24794988,0.27984079,0.30098746,0.31380132,0.32118556
