index,L,R,P_high,t1,t2,t3,t4,t5
130,4.5,0.48,14,0.00099183,0.00099175,0.00099167,0.00099158,0.0009915
744,6.2,0.11,10,0.00099358,0.00099349,0.0009934,0.00099331,0.00099322
752,2.69,0.32,11,0.00098688,0.00098678,0.00098667,0.00098656,0.00098645
750,9.38,0.12,15,0.00099651,0.00099644,0.00099636,0.0009963,0.00099623
692,7.53,0.44,20,0.00099537,0.00099531,0.00099525,0.0009952,0.00099514
558,4.98,0.31,15,0.00099265,0.00099258,0.0009925,0.00099243,0.00099235
910,6.02,0.48,5,0.00099179,0.00099162,0.00099144,0.00099127,0.0009911
338,2.89,0.24,11,0.00098737,0.00098726,0.00098716,0.00098705,0.00098694
905,1.81,0.27,11,0.0009843,0.00098419,0.00098408,0.00098397,0.00098385
566,9.78,0.4,6,0.00099666,0.00099653,0.00099643,0.00099635,0.00099626
13,8.13,0.17,14,0.00099567,0.0009956,0.00099552,0.00099545,0.00099539
532,4.78,0.22,17,0.00099286,0.00099279,0.00099272,0.00099265,0.00099258
838,1.52,0.49,6,0.00097228,0.00097205,0.00097184,0.00097162,0.0009714
748,6.42,0.16,18,0.00099446,0.0009944,0.00099434,0.00099427,0.00099421
953,9.27,0.37,6,0.00099631,0.00099618,0.00099609,0.000996,0.00099592
642,9.44,0.27,17,0.00099645,0.00099639,0.00099632,0.00099626,0.0009962
120,3.79,0.16,20,0.00099261,0.00099255,0.00099248,0.00099242,0.00099235
215,7.26,0.41,19,0.00099514,0.00099508,0.00099502,0.00099496,0.0009949
27,1.47,0.46,7,0.00097492,0.00097472,0.00097452,0.00097434,0.00097416
342,9.54,0.37,9,0.00099706,0.00099694,0.00099685,0.00099677,0.00099671
538,9.65,0.2,14,0.00099675,0.00099667,0.0009966,0.00099653,0.00099646
44,5.04,0.31,16,0.00099294,0.00099287,0.0009928,0.00099272,0.00099265
533,3.42,0.19,11,0.00098866,0.00098856,0.00098845,0.00098835,0.00098824
343,3.46,0.45,14,0.00099023,0.00099015,0.00099006,0.00098998,0.00098989
499,4.83,0.11,14,0.00099226,0.00099218,0.0009921,0.00099202,0.00099193
200,8.6,0.12,14,0.00099603,0.00099596,0.00099588,0.00099581,0.00099575
911,7.51,0.41,13,0.00099516,0.00099508,0.00099501,0.00099493,0.00099486
874,8.94,0.46,9,0.00099659,0.00099648,0.00099639,0.00099632,0.00099625
41,7.05,0.17,12,0.0009947,0.00099462,0.00099455,0.00099447,0.00099439
755,1.64,0.21,13,0.000986,0.00098591,0.00098581,0.00098571,0.00098561
136,8.76,0.39,11,0.00099635,0.00099625,0.00099616,0.00099609,0.00099602
568,5.6,0.21,19,0.00099395,0.00099389,0.00099382,0.00099376,0.0009937
300,4,0.32,12,0.00099039,0.00099029,0.0009902,0.0009901,0.00099
623,3.29,0.28,7,0.0009852,0.00098504,0.00098487,0.0009847,0.00098454
32,8.14,0.5,8,0.00099586,0.00099575,0.00099567,0.0009956,0.00099553
569,8.54,0.4,20,0.00099594,0.00099588,0.00099583,0.00099577,0.00099572
548,5.17,0.18,18,0.00099343,0.00099336,0.0009933,0.00099323,0.00099316
686,4.72,0.46,17,0.0009928,0.00099274,0.00099266,0.00099259,0.00099252
557,7.98,0.13,7,0.00099553,0.00099543,0.00099535,0.00099527,0.00099519
85,2.89,0.34,14,0.00098927,0.00098918,0.0009891,0.00098901,0.00098892
29,8.43,0.12,11,0.00099606,0.00099596,0.00099588,0.00099581,0.00099574
714,5.47,0.38,9,0.00099227,0.00099216,0.00099206,0.00099195,0.00099185
925,5.92,0.41,12,0.00099335,0.00099327,0.00099319,0.0009931,0.00099302
302,3.83,0.32,13,0.00099045,0.00099036,0.00099027,0.00099018,0.00099009
914,3.49,0.23,18,0.00099174,0.00099167,0.0009916,0.00099153,0.00099146
495,6.03,0.43,18,0.00099417,0.0009941,0.00099404,0.00099397,0.00099391
