,index,results
34,878.pickle,"1.53, 0.21, 18, 0.00098938, 0.00098859, 0.0010075 , 0.09073442, 0.23893664,       0.29408079, 0.31544422, 0.32404313, 0.32755394, 0.32899427,       0.32958602, 0.32982921, 0.32992916, 0.32997023, 0.3299871 ,       0.32999404, 0.3299969 , 0.32999807, 0.32999857"
35,250.pickle,"1.62, 0.11, 18, 0.00098949, 0.00098871, 0.00098845, 0.03121851, 0.21002201,       0.28322131, 0.31112134, 0.32227926, 0.32682782, 0.3286944 ,       0.32946202, 0.32977788, 0.32990786, 0.32996134, 0.32998335,       0.32999241, 0.32999614, 0.32999769, 0.32999833"
36,4.pickle,"1.63, 0.23, 15, 0.00098764, 0.00098673, 0.00098578, 0.00098539, 0.01073801,       0.18321827, 0.27203534, 0.30630869, 0.32016876, 0.32589732,       0.32828395, 0.32928102, 0.32969798, 0.32987241, 0.32994538,       0.32997593, 0.32998873, 0.32999409, 0.32999635"
37,414.pickle,"1.74, 0.15, 19, 0.00099012, 0.00098937, 0.00098879, 0.02146345, 0.20392497,       0.28118697, 0.31039001, 0.3220087 , 0.32672719, 0.32865716,       0.32944838, 0.32977296, 0.32990612, 0.32996076, 0.32998317,       0.32999237, 0.32999614, 0.3299977 , 0.32999835"
38,802.pickle,"1.54, 0.23, 14, 0.0009867 , 0.00098573, 0.00098471, 0.00098397, 0.00546434,       0.16499552, 0.26460514, 0.30319564, 0.31882963, 0.32531575,       0.3280307 , 0.32917068, 0.32964988, 0.32985142, 0.32993619,       0.32997187, 0.32998689, 0.32999323, 0.32999591"
39,867.pickle,"1.69, 0.16, 20, 0.00099051, 0.0009898 , 0.00102584, 0.11033364, 0.2476416 ,       0.29765193, 0.31696356, 0.32469786, 0.32783681, 0.32911637,       0.32963866, 0.32985189, 0.32993894, 0.32997448, 0.32998899,       0.32999491, 0.32999734, 0.32999833, 0.32999874"
40,5.pickle,"1.13, 0.29, 18, 0.0009888 , 0.00136055, 0.13521309, 0.25621408, 0.30078485,       0.31817545, 0.32517741, 0.32802842, 0.32919339, 0.32966983,       0.32986466, 0.32994431, 0.32997687, 0.32999017, 0.32999561,       0.32999783, 0.32999874, 0.32999911, 0.32999927"
41,60.pickle,"1.63, 0.16, 12, 0.00098497, 0.00098388, 0.00098273, 0.00098159, 0.00098044,       0.00105568, 0.05211807, 0.21228469, 0.28175113, 0.30972733,       0.32138824, 0.32632534, 0.32842819, 0.32932595, 0.32970963,       0.32987373, 0.32994397, 0.32997404, 0.32998694"
42,402.pickle,"1.54, 0.2, 16, 0.0009882 , 0.00098733, 0.00098643, 0.00214462, 0.14654506,       0.25888106, 0.30132983, 0.31821322, 0.32511948, 0.32797384,       0.32915768, 0.32964921, 0.32985337, 0.32993816, 0.32997338,       0.32998803, 0.32999411, 0.32999665, 0.32999772"
43,844.pickle,"1.7, 0.27, 15, 0.00098776, 0.00098685, 0.0009859 , 0.00098498, 0.00226254,       0.14017153, 0.25557775, 0.29977841, 0.31748425, 0.32477832,       0.32781512, 0.32908418, 0.3296152 , 0.32983752, 0.32993062,       0.32996962, 0.32998597, 0.32999284, 0.32999572"
44,29.pickle,"1.78, 0.13, 17, 0.00098914, 0.00098833, 0.00098747, 0.00099397, 0.05622031,       0.22216487, 0.28737944, 0.31264052, 0.32284711, 0.32704031,       0.32877312, 0.3294906 , 0.32978785, 0.32991103, 0.32996208,       0.32998325, 0.32999202, 0.32999568, 0.3299972 "
45,53.pickle,"1.99, 0.29, 19, 0.00099038, 0.00098965, 0.00098887, 0.00099801, 0.07208287,       0.23117799, 0.29116182, 0.31427947, 0.32356644, 0.32735669,       0.32891208, 0.32955152, 0.32981453, 0.32992274, 0.32996726,       0.32998558, 0.32999313, 0.32999624, 0.32999753"
